"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2489","VerifyLoginWithInvalidCredentials","Default Suite","2026-08-29","passed","2026-08-29","tests.LoginTests","OrangHRM","tests.LoginTests","VerifyLoginWithInvalidCredentials"
"","11593","addEmployeeWithEmptyFirstName","Surefire suite","2026-08-29","passed","2026-08-29","tests.PIMTests","Surefire test","tests.PIMTests","addEmployeeWithEmptyFirstName"
"","9403","searchForNonExistingEmployee","Surefire suite","2026-08-29","passed","2026-08-29","tests.PIMTests","Surefire test","tests.PIMTests","searchForNonExistingEmployee"
"","20524","addEmployeeWithEmptyFirstName","OrangeHRM Suite","2026-08-29","passed","2026-08-29","tests.PIMTests","PIMTestClass","tests.PIMTests","addEmployeeWithEmptyFirstName"
"","12683","verifyAddUserPageFields","OrangeHRM Suite","2026-08-29","passed","2026-08-29","tests.AdminTests","AdminAndDashboardTestClass","tests.AdminTests","verifyAddUserPageFields"
"","9830","VerifyLoginWithValidCredentials","OrangeHRM Suite","2026-08-29","passed","2026-08-29","tests.LoginTests","LoginTestClass","tests.LoginTests","VerifyLoginWithValidCredentials"
"","2984","VerifyLoginWithValidCredentials","Surefire suite","2026-08-29","passed","2026-08-29","tests.LoginTests","Surefire test","tests.LoginTests","VerifyLoginWithValidCredentials"
"","50642","verifyFooterBrandingLink","OrangeHRM Suite","2026-08-29","passed","2026-08-29","tests.DashboardTests","AdminAndDashboardTestClass","tests.DashboardTests","verifyFooterBrandingLink"
"","12385","searchForNonExistingEmployee","OrangeHRM Suite","2026-08-29","passed","2026-08-29","tests.PIMTests","PIMTestClass","tests.PIMTests","searchForNonExistingEmployee"
"","5703","searchForExistingEmployee","Surefire suite","2026-08-29","passed","2026-08-29","tests.PIMTests","Surefire test","tests.PIMTests","searchForExistingEmployee"
"","2198","VerifyLoginWithEmptyCredentials","OrangeHRM Suite","2026-08-29","passed","2026-08-29","tests.LoginTests","LoginTestClass","tests.LoginTests","VerifyLoginWithEmptyCredentials"
"","25613","addEmployeeEndToEnd","OrangeHRM Suite","2026-08-29","passed","2026-08-29","tests.PIMTests","PIMTestClass","tests.PIMTests","addEmployeeEndToEnd"
"","17451","openAddEmployeePage","OrangeHRM Suite","2026-08-29","passed","2026-08-29","tests.PIMTests","PIMTestClass","tests.PIMTests","openAddEmployeePage"
"","15411","addEmployeeEndToEnd","Surefire suite","2026-08-29","passed","2026-08-29","tests.PIMTests","Surefire test","tests.PIMTests","addEmployeeEndToEnd"
"","17214","searchForExistingEmployee","OrangeHRM Suite","2026-08-29","passed","2026-08-29","tests.PIMTests","PIMTestClass","tests.PIMTests","searchForExistingEmployee"
"","28906","VerifyLoginWithInvalidCredentials","OrangeHRM Suite","2026-08-29","broken","2026-08-29","tests.LoginTests","LoginTestClass","tests.LoginTests","VerifyLoginWithInvalidCredentials"
"","6567","verifySidebarMenuItems","OrangeHRM Suite","2026-08-29","passed","2026-08-29","tests.UITest","AdminAndDashboardTestClass","tests.UITest","verifySidebarMenuItems"
